AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DLC count,About the game,Supported languages,Full audio languages,Reviews,Header image,Website,Support url,Support email,Windows,Mac,Linux,Metacritic score,Metacritic url,User score,Positive,Negative,Score rank,Achievements,Recommendations,Notes,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres,Tags,Screenshots,Movies
2345060,Vegan Challenge,"Apr 3, 2023",0 - 20000,0,0,4.99,0,"You start the game with an overweight character. For example climbing up a ladder, moving a rock and similar things. You will be hindered by traps and evil meat enemies. You need to get to the end of the levels as fast as possible because your time is limited. But in the meantime, you need to collect enough calories to complete the physical tasks that arise during your journey towards the ultimate goal. Lose Weight and Get Fitter. Are you ready for the Vegan Challenge?",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/2345060/header.jpg?t=1680549585,,,veganchallengegame@gmail.com,True,False,False,0,,0,0,0,,0,0,,0,0,0,0,Jozsef Szotak,Jozsef Szotak,"Single-player,Partial Controller Support","Action,Adventure,Casual,Indie",,"https://cdn.akamai.steamstatic.com/steam/apps/2345060/ss_fcc273f06d612895da603460408d5e549cc269b0.1920x1080.jpg?t=1680549585,https://cdn.akamai.steamstatic.com/steam/apps/2345060/ss_d8bc5a5ee40c59bb9431448d7eecd86db722ec75.1920x1080.jpg?t=1680549585,https://cdn.akamai.steamstatic.com/steam/apps/2345060/ss_e087c2a1a514cd6cfeb86c81a70d09c98f055ac8.1920x1080.jpg?t=1680549585,https://cdn.akamai.steamstatic.com/steam/apps/2345060/ss_3e4f0a8ce4b9f0ecf46c2d0ed7a97793e2c302c7.1920x1080.jpg?t=1680549585,https://cdn.akamai.steamstatic.com/steam/apps/2345060/ss_9b1a3cfcc6814528c3b6dcc58fef54a536d1e58d.1920x1080.jpg?t=1680549585",http://cdn.akamai.steamstatic.com/steam/apps/256936125/movie_max.mp4?t=1678982159
931430,Land of an Endless Journey,"Sep 26, 2018",0 - 20000,0,0,0.99,0,"Land of an Endless Journey is a first-person math puzzle game across different atmospheric landscapes. Explore the beauty of nature across different landscapes. Solve math puzzles and pay attention where you move as you might get trapped! Puzzles difficulty goes up while maintaining the same puzzle size. Immerse yourself in a surreal world with lovely music. As you were sailing in the Northern Sea, you find yourself near a mysterious land with no way to escape but to solve the trails.","['English', 'German', 'Russian']",[],,https://cdn.akamai.steamstatic.com/steam/apps/931430/header.jpg?t=1537981707,,,operationcodename@protonmail.com,True,False,False,0,,0,10,7,,18,0,,0,0,0,0,Operation Codename,Operation Codename,"Single-player,Steam Achievements,Partial Controller Support","Adventure,Indie","Indie,Adventure,Puzzle,Atmospheric","https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_af034f0752ec0b84cb8f12e491debe6f06d3c22f.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_acf615b8779184725056be8636e108a9bbfc8c70.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_b7f01d44ef987e55f049a1c96cf9c3cbf9e60cf0.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_ad51d8b1191ef7ef67e5b9b5c0744879f550f0ef.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_e4b7ee1fb0ad5a46ddc9a529b99c249af653bae9.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_ea91b7386dd0faadcc2bb9a018cd8c5a5eff6c9f.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_8cf62e0a5d8d8ce8f6d1cc8098fd087e00c242da.1920x1080.jpg?t=1537981707,https://cdn.akamai.steamstatic.com/steam/apps/931430/ss_c136002d0eaa35eb89f847cbf9604a43e170deac.1920x1080.jpg?t=1537981707",http://cdn.akamai.steamstatic.com/steam/apps/256729091/movie_max.mp4?t=1536892839
857450,ISLAND,"Aug 23, 2018",0 - 20000,9,0,39.99,1,"ISLAND is an intricate visual novel with multiple routes and endings. Through use of the game's flowchart system, players navigate through the story and uncover clues to unravel the mysteries of Urashima, the titular island. The story of ISLAND revolves around Sanzenkai Setsuna, a young man who wakes up on the shore of Urashima with no memories of his past. During the game, you'll explore Setsuna's relationship with three girls on the island, Rinne, Karen, and Sara. As he uncovers the hidden secrets of Urashima's past - and future - Setsuna must fight against fate to protect that which he treasures most. Will you be able to discover the truth and save Urashima, or find yourself lost among the ISLAND's many dead ends? World and Background Urashima is a small island, far from mainland Japan. It's a true utopia, blessed with rich natural beauty. But the island harbors a difficult past, and it's about to be erased, silently, from history. Soot blight syndrome, an endemic disease, has brought about a rift between the island and the mainland. An offshore platform intended for marine research has long been left abandoned; five years ago, three separate incidents brought the once influential Three Families of Urashima to near ruin. Rumors about children being spirited away have become part of the local folklore, alongside another legend, one that has been repeated on the island since time immemorial... 'Let me tell you the legend of this island: it's a story of tragic love...' The key to saving the island lies with three girls, each of whom belongs to one of the Three Families. These girls aren't able to change the fate of the island by themselves, but might they succeed with the help of the young man who's just washed ashore? Claiming that he's traveled back in time, the man immediately sets out on a lonely path, challenging the longstanding traditions of the island, and seeking to change the future. But those aren't his only goals... How will his presence transform the lives of these three girls, the future of the island, and the fate of the world...?","['English', 'Japanese', 'Simplified Chinese']","['Japanese', 'Simplified Chinese']",,https://cdn.akamai.steamstatic.com/steam/apps/857450/header.jpg?t=1618480328,http://never-island.com/game/index.html,,ask@frontwing.co.jp,True,False,False,0,,0,1145,45,,0,980,,1102,0,2121,0,Frontwing,Frontwing USA,"Single-player,Steam Trading Cards,Steam Cloud","Adventure,Casual","Visual Novel,Anime,Story Rich,Adventure,Cute,Time Travel,Casual,Mystery,Sci-fi,Sexual Content,Romance,Choices Matter,Multiple Endings,Singleplayer,Psychological Horror,Dating Sim,Drama,Horror,Nudity,Great Soundtrack","https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_74b0d83402ad5379ac85c0aedc1fd8dd578feef0.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_40913a1fb7d86b737973910de18ac589bfce87ec.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_ccf59004ede58c608b7f8ee1784a584c1992c723.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_b97258bb2b510e8057e82b28e7a37a7b106b0ba1.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_cbdde0a7016e848b46ba49c86ad3b9bad298e582.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_e60162ac376255169eb9e71b1ac3fa67064a9278.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_8d945852ff7df78bfa97e8087d8c81ba271a2bb4.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_e1ecd3da5b7ce28eb2d783f968969f88e1cad986.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_f64db59976ce2623e74ffe9dd53f47ec71b73a14.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_8759b3aa22397f2911ef11d745a48c638fc9a6b8.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_967948621859d31cc33a4d12ba254a0e5825cfb7.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_ba5d66e2e34a0ff8c18dd14f0b1a84017661dcbf.1920x1080.jpg?t=1618480328,https://cdn.akamai.steamstatic.com/steam/apps/857450/ss_3690d493f21c46e93556461441c0781dd1c35faf.1920x1080.jpg?t=1618480328",http://cdn.akamai.steamstatic.com/steam/apps/256720262/movie_max.mp4?t=1530850084
1373880,Hello Neighbor 2 Alpha 1,"Dec 29, 2020",100000 - 200000,12,0,0.0,0,"Alpha 1 is BACK! Hello Neighbor 2 is a Stealth Horror Game where you’re being stalked by a mysterious creature as you try to track down Mr. Peterson (The Neighbor) who has disappeared after the events of the first game. Play against an advanced, self-learning AI that tracks and adapts to your every move. Self-learning AI AI explores the environment and constantly seeks ways to ambush the player AI watches player navigation patterns and if these seem to be effective, will replicate them AI has a daily routine that gets disrupted by the player: sleeping, eating, cooking, and possibly going into the woods to dig up bags of non-bodies AI will use the same objects as the player, using them for the same purposes. If the player uses a fire extinguisher to get up top, so will the AI. Open world Explore the Raven Brooks, there are no limitations and players can go anywhere from the beginning of the game. The AI protects its house when the player is trying to break in, and stalks the player when out in the open world. Players have their own stories. Narrative is emergent, depending on how players decide to play the game. The world changes depending on your actions Sandbox experience Players should find creative solutions to solve the puzzle by combining different items, terrain features and platforming skills Many in-game events are persistent and scheduled in random order, that gives a feeling of a living world. Players may examine each random in-game event to find a different outcome",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1373880/header.jpg?t=1616697430,http://helloneighbor2.com,https://tinybuildgames.zendesk.com/hc/en-us,support@tinybuild.com,True,False,False,0,,0,313,51,,0,0,,51,0,51,0,"Eerie Guest,tinyBuild",tinyBuild,Single-player,"Adventure,Indie,Strategy","Adventure,Strategy,Puzzle,Stealth,Survival,Horror,Investigation,Puzzle-Platformer,Survival Horror,3D,Cartoony,Colorful,First-Person,Psychedelic,Atmospheric,Conspiracy,Detective,Mystery,Psychological,Psychological Horror","https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_2474c9f25c6cb8f4052d7582ce5bb3211e103dc5.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_2f578789992565b7b621607d144db029b9ca238a.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_4e2d675c5b5a8b413388f9120ad64baadb1aeddd.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_1d92a898cf43bc33f92a53cc9dfcd92ae7fd4d0f.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_5e085274aa110f88ed6d5fe6f83d7dd91ae2ab34.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_8a35c9571009aa68e26484416db7c60ad9847af6.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_ef06d8d88ffe374d57d2307b7f4c5d1bbc66f3c6.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_196a9881334aa9a23dd5f75e59126f3162422cc4.1920x1080.jpg?t=1616697430,https://cdn.akamai.steamstatic.com/steam/apps/1373880/ss_880bc34c3a892396f384325738873c6ba746ea00.1920x1080.jpg?t=1616697430",http://cdn.akamai.steamstatic.com/steam/apps/256815945/movie_max.mp4?t=1609160947
893590,Monopolist: Technological Revolution,"Jul 26, 2018",20000 - 50000,0,0,1.99,0,"Imagine being a monopolist of the late 19th and early 20th centuries. In the game Monopolist: Technological revolution - wins the one who will earn the first 50000$ or eliminate other players from the game, forcing them to go bankrupt. AI - artificial intelligence. • Merchant is a cautious player whose purpose is to lead a trade while avoiding losses. He will not buy an enterprise if he has not enough money to keep his business. • The buyer is a pretty dangerous player. He buys everything that can and may change your plans to create a monopoly. • The monopolist is the most dangerous type of player. He carefully buys the firms that will bring him the most profits and willingly creates a monopoly. Set up startup capital and choose the color of your car and go ahead of monopolizing the city. Addition: • Get some images that you can use as avatars. Images are in the game's directory.","['English', 'Ukrainian']",[],,https://cdn.akamai.steamstatic.com/steam/apps/893590/header.jpg?t=1533030275,,,nazar.kozhukhar1999@gmail.com,True,False,False,0,,0,4,8,,5,0,,0,0,0,0,UA Games,NEBOCRY,"Single-player,Multi-player,Shared/Split Screen,Remote Play Together","Indie,Simulation,Strategy","Strategy,Indie,Simulation,Board Game,Turn-Based Strategy,Turn-Based Tactics,Voxel,3D,America,Family Friendly,Economy,Capitalism,PvP,Singleplayer,4 Player Local","https://cdn.akamai.steamstatic.com/steam/apps/893590/ss_8df269e42d21386eec0efbb7d809ee4c480bc2b6.1920x1080.jpg?t=1533030275,https://cdn.akamai.steamstatic.com/steam/apps/893590/ss_85c138eb6b77ed3f0dfe36ac67a61e5700069a1f.1920x1080.jpg?t=1533030275,https://cdn.akamai.steamstatic.com/steam/apps/893590/ss_af036627422ca4802df51018725968469500fa44.1920x1080.jpg?t=1533030275,https://cdn.akamai.steamstatic.com/steam/apps/893590/ss_428637777457c079169fd7f84b0a54c1c6b414b1.1920x1080.jpg?t=1533030275,https://cdn.akamai.steamstatic.com/steam/apps/893590/ss_c4af80cf9611e2953190ae8b2dfbfad7f398dbcc.1920x1080.jpg?t=1533030275,https://cdn.akamai.steamstatic.com/steam/apps/893590/ss_94be205ac25bfdc6fc256f2d7284c9b79ca19d8f.1920x1080.jpg?t=1533030275",http://cdn.akamai.steamstatic.com/steam/apps/256721748/movie_max.mp4?t=1531144235
1047110,Bondage Nightmare,"Apr 27, 2019",0 - 20000,0,0,9.99,0,"You have a terrible nightmare. You are in a scary place. You feel that you need to get to your phone. But it will not be just because you are tightly bound. Get to the phone to complete the level. From the phone is a sound wave, which tells where the phone is. On some levels you will meet zombies. Do your best to avoid meeting them. Key Features: Bound girl simulator. You will control the bound girl. 10 levels with different difficulty. The zombies you have to avoid. Infinite replayability. The phone will appear all the time in different places. Customization. You can change the color of hair, rope and underwear as you like. And also choose one of several gags.",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1047110/header.jpg?t=1566979312,,,ya.alex6886@yandex.ru,True,False,False,0,,0,0,0,,0,0,Nudity,0,0,0,0,D.i.D. Games,D.i.D. Games,"Single-player,Partial Controller Support","Action,Indie,Simulation",,"https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_3618516f497d66d9f6f14a27ca8d4ca7c5dc3a6b.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_7853e2d3ad66bc051cd3e7ee6f817887952eab77.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_ba3372fe8c47d2b0e1dea3643d4f8895f7859014.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_53dcff5465dac7c60bffde28977bff64bc96c146.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_c9bf1ba8be2fd67d51d8371e4ae36bbfa82ffcbd.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_6f63f728e2807604a737b9c1a43d2f939e81ca6d.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_a52acd3db771cbde310d9e2757b21a58eaec85b0.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_e1a5300551f8fb73ce7026ca23dc8316c1745c1c.1920x1080.jpg?t=1566979312,https://cdn.akamai.steamstatic.com/steam/apps/1047110/ss_db2ee066be0a5a7169fae90b59e9a699bfaef6c9.1920x1080.jpg?t=1566979312",http://cdn.akamai.steamstatic.com/steam/apps/256747173/movie_max.mp4?t=1555148453
1525040,CityBeat: The Sorority Shuffle,"Mar 24, 2021",0 - 20000,0,0,3.99,0,"What started as just another day at City Beat Magazine turns into the opportunity you’ve been looking for. Tasked by the chief editor of the Scandals Section, you must put your wits and cunning to work to break a story about sex, secrets, and corruption. Do you have the chops to uncover the truth? Requires Chrome/Chromium &gt;= 70 to be installed. Features Explore maps and collect items Interact with characters to get useful information Old-school text game mechanics Great artwork including some with very mature themes Modern UI Walkthrough and hi-res art gallery Note CityBeat: The Sorority Shuffle i s an Adult Interactive Fiction game, you have to type commands to move around and interact with objects and characters. Demo Demo has all the same content and doesn't differ from the 'full game', except: Achievements Art gallery Walkthrough So you don't really need to buy the game to play it, only to support us. Requires Chrome/Chromium &gt;= 70 to be installed.",['English'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1525040/header.jpg?t=1616656727,http://ktulhusolutions.com,http://ktulhusolutions.com,games@ktulhusolutions.com,True,True,True,0,,0,0,0,,8,0,Contains nudity and scenes depicting sexual situations.,0,0,0,0,Ktulhu Solutions,Ktulhu Solutions,"Single-player,Steam Achievements","Adventure,Indie",,"https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_bd39e56a6be7ee0c5e728e9617ddcfa6f726a9e9.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_c3c75685357eeacd1b61c77dfe5ff238cd83950b.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_bb6e683dcceb50b567d7fd8b5a89c6da7a279e50.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_4fae865f056c3589b5dd8babf97f4216a60e4860.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_ae5047013fabea9178a0a9d76a43c202d2b39731.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_0cee3050f84b2768e9590486ef4aecf32e66ce55.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_ac0e9c12783f497a487d4e3a09d2240b4b89749b.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_c7916e6c78ede8fa8b583a29226a802d4628c45a.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_24a2b26c9e9d2e7f24c0659f7039399a59a6e387.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_8015f5c5fe07f527b2f4d679b7141ea6ab7f7486.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_03ee5a7b89e580577b05f892f875c813bcea211e.1920x1080.jpg?t=1616656727,https://cdn.akamai.steamstatic.com/steam/apps/1525040/ss_e44a806521f8441dc8a07b4c2245177d57eea031.1920x1080.jpg?t=1616656727",http://cdn.akamai.steamstatic.com/steam/apps/256823559/movie_max.mp4?t=1614111627
1391710,東方蒼月闘,"Nov 25, 2021",0 - 20000,0,0,9.99,0,弾幕を張るという新体験 普段シューティングゲームでプレイすることのないボス側を操作可能！ 「東方Project」のキャラクターを操り、自分ならではの弾幕で相手を撃ち落とそう！ 画面中を動き回って広くばらまく、至近距離から敵を狙う、逃げ道に先回りなど何でもあり。 相手の動きを見て追い詰めていく頭脳戦が楽しめます。 普段通り自機側をプレイすることもできます。経験とキャラクターの能力を駆使して敵の弾幕をやり過ごそう。 魅力的なキャラクターたち 上海アリス幻樂団「東方Project」から魅力的なキャラクターが計８人登場！キャラクターごとの魅力的な能力を生かした戦いを楽しめます！ ストーリーモード 「月が蒼くなった！？」 幻想郷で突如起こった月が蒼くなる異変。ある者は異変を解決するため、ある者は八つ当たりのため、またある者は... 異変解決までのストーリーをそれぞれのキャラクターの視点で楽しめます。 カスタマイズ可能なバトル 同画面PvPやコンピュータ対戦では弾幕をカスタマイズして戦えます。共通弾幕、固有弾幕、スペルカードなどを組み合わせて自分だけの最強構成を作りましょう。,['Japanese'],[],,https://cdn.akamai.steamstatic.com/steam/apps/1391710/header.jpg?t=1637881025,,,aotsukitoudev@gmail.com,True,True,False,0,,0,0,0,,9,0,,0,0,0,0,蒼月闘開発部,蒼月闘開発部,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support",Action,,"https://cdn.akamai.steamstatic.com/steam/apps/1391710/ss_228c3f22b6cb83d1176b2629bc1abc11feb8408d.1920x1080.jpg?t=1637881025,https://cdn.akamai.steamstatic.com/steam/apps/1391710/ss_3c7b3e8cce5c2d6af32039f19792c89ab6455fe0.1920x1080.jpg?t=1637881025,https://cdn.akamai.steamstatic.com/steam/apps/1391710/ss_5d4b03a6dad16f180bc52b5c25bd02115a5be12c.1920x1080.jpg?t=1637881025,https://cdn.akamai.steamstatic.com/steam/apps/1391710/ss_22f43217d57097e5e10b4fe4c38d40cf38a5f92c.1920x1080.jpg?t=1637881025,https://cdn.akamai.steamstatic.com/steam/apps/1391710/ss_6cb6428d622fea51a5a4dc4ca6f10640d9058b12.1920x1080.jpg?t=1637881025",http://cdn.akamai.steamstatic.com/steam/apps/256861701/movie_max.mp4?t=1637680070
1597750,Phobyark,"Mar 24, 2022",0 - 20000,0,0,18.99,0,Phobyark is a new type of platformer / horror game that will immerse you in the twists and turns of phobias ! Discover a world as intriguing as it is terrifying through different levels of courses and succeed in overcoming your deepest fears. Excel and dethrone your records to become the fastest in Phobyark. Characteristics : - A game designed for speedrun - A powerful graphics engine - A game based on phobias - A VR mode in development,"['English', 'French']","['English', 'French']",,https://cdn.akamai.steamstatic.com/steam/apps/1597750/header.jpg?t=1651188202,,,alphycontact@gmail.com,True,False,False,0,,0,1,0,,0,0,,0,0,0,0,ALPHY,ALPHY,Single-player,"Action,Indie,Early Access","Action,Psychological Horror,3D Platformer,Realistic,Survival Horror,Platformer,Exploration,Hidden Object,Precision Platformer,First-Person,3D,Early Access,Indie,Atmospheric,Psychological,Score Attack,Character Customization,Singleplayer","https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_8a4cadc0589ae4bddf938323cf6bdb943d2d79fb.1920x1080.jpg?t=1651188202,https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_85f132393c7abf2214ee0dce8c3e82d77eef83af.1920x1080.jpg?t=1651188202,https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_c76d8bb478907e6d05d02128f13af5432f041283.1920x1080.jpg?t=1651188202,https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_9b13c2745a60c1f1a764b37a72cdd8b533e648fc.1920x1080.jpg?t=1651188202,https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_392104266d70a3e5beaf63b008a33fc161ef5a55.1920x1080.jpg?t=1651188202,https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_a5626144b7ab8395d082f2bff821b08df34f4cbf.1920x1080.jpg?t=1651188202,https://cdn.akamai.steamstatic.com/steam/apps/1597750/ss_b36a182ab95e9a0ce5e8bc94e343ba7bb1e9f85d.1920x1080.jpg?t=1651188202",http://cdn.akamai.steamstatic.com/steam/apps/256830970/movie_max.mp4?t=1618927611
223591,The Sims™ 3,"Jan 27, 2011",0 - 20000,0,0,19.99,19,"Play with Life. Create the lives you've always wanted! Ready to live a freer, more creative life? In The Sims™ 3, you can let your fantasies run wild as you design your ideal world. Start with your Sim, refining each shape, color and personality trait until you get the precise person that pleases you. Design your dream home, but don’t let a grid limit you; place, rotate and stack furniture and walls freely and to your heart’s content. Once the “hard work” is over, it’s time to be a mentor. Guide your Sim’s path through life, developing a career, finding love, and pursuing dreams and desires. Spending time with friends and family is just as important as mastering painting or accumulating knowledge. Take things to the next level and record movies of your Sim’s adventures and share them with the ever-growing and thriving community. With a huge catalog of expansion packs and fun objects to discover, there is no end to the possibilities awaiting you. It all begins here; your adventure awaits! Key Features Customize Your Sim: Mix and match a vast range of facial features and body types to get the look you want. Infuse your Sim with personality traits and help realize their dreams. Stage Your Own Extreme Makeover: Decorate your Sim’s home however you want, neat or messy. Use odd angles, create tall stacks of items, and apply your favorite self-made pattern to the walls and floors. Range From the Home: Get out of the house and explore the lively and entertaining neighborhood for the first time. Be a part of the larger online community!","['Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Spanish - Spain', 'Swedish', 'Traditional Chinese']",[],,https://cdn.akamai.steamstatic.com/steam/apps/47890/header.jpg?t=1615894474,http://www.thesims3.com/,https://help.ea.com/en/the-sims/the-sims-3/,,True,False,False,86,https://www.metacritic.com/game/pc/the-sims-3?ftag=MCD-06-10aaa1f,0,12758,2674,,0,24620,,0,0,0,0,The Sims Studio,Electronic Arts,Single-player,Simulation,"Simulation,Character Customization,Sandbox,Building,Singleplayer,Casual,Funny,Moddable,RPG,Family Friendly,Romance,Comedy,Adventure,Replay Value,Multiplayer,Nudity,Great Soundtrack,Strategy,Action,Female Protagonist","https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_88f5012197f111d3eb60dfe2788c1abb13bfcbed.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_445ee935552da8d81a043b9d5dd26061e9679682.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_1f0684c76b6ae09f15ff3b5d1a4cc8eee46a211c.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_a5d0065dde878697b53e90d1fb5b143b0483ac70.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_43599ea4e407561c8f1b97f48af9439a0ffce65a.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_c26eaefcabf86b4d537dcab529739df0f6968e74.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_856e0040221b996a522340e4380d279c18f39807.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_3a0473385de08d63bd41a74bdd1f6295464f5b85.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_1d3690a6f52a700d5ef0f5a0929e58674cc95eb6.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_ebb8e57138ef3bf23f301c1a7d003ab25902b862.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_52065d83b817e557e832173530752cd105d80a51.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_80c1728f0ed2aa2233bc66a96dacaca7fad601ea.1920x1080.jpg?t=1615894474,https://cdn.akamai.steamstatic.com/steam/apps/47890/ss_0481acdb93d70cdcb2787c5cf28f168f766de4a5.1920x1080.jpg?t=1615894474",
